Time	Aircraft Simulation Airspeed	Aircraft Simulation Pitch Angle
87.8	15.20905	11.84097
87.9	15.21383	11.83032
88	15.21861	11.82126
88.1	15.2234	11.81314
88.2	15.22814	11.80688
88.3	15.23287	11.80283
88.4	15.23756	11.79962
88.5	15.2421	11.79822
88.6	15.24653	11.79926
88.7	15.25084	11.80127
88.8	15.25487	11.80457
88.9	15.25877	11.81036
89	15.2625	11.81784
89.1	15.26598	11.82541
89.2	15.2692	11.83563
89.3	15.27214	11.84735
89.4	15.27484	11.85864
89.5	15.27723	11.87234
89.6	15.27932	11.88846
89.7	15.28115	11.9035
89.8	15.28257	11.91971
89.9	15.28371	11.93854
90	15.28455	11.95712
90.1	15.28498	11.97501
90.2	15.28512	11.99557
90.3	15.28498	12.01651
90.4	15.28443	12.03531
90.5	15.28357	12.05682
90.6	15.2824	12.07922
90.7	15.28096	12.09875
90.8	15.27914	12.11957
90.9	15.27702	12.1416
91	15.27473	12.16141
91.1	15.27206	12.18076
91.2	15.26911	12.20169
91.3	15.26603	12.22174
91.4	15.26265	12.23859
91.5	15.25905	12.25766
91.6	15.25529	12.27631
91.7	15.25132	12.29013
91.8	15.24717	12.3056
91.9	15.24295	12.32214
92	15.23869	12.33389
92.1	15.23418	12.34549
92.2	15.22962	12.35812
92.3	15.2251	12.3678
92.4	15.2204	12.3743
