Time	Aircraft Simulation Net Global Force Y	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Airspeed
48.1	0	56.57057	119.599	20.56289
48.2	0	55.89009	120.1575	20.56409
48.3	0	55.37278	120.7159	20.56518
48.4	0	55.02229	121.2744	20.56568
48.5	0	54.84144	121.8329	20.56709
48.6	0	54.83146	122.3913	20.56759
48.7	0	54.99252	122.9498	20.56882
48.8	0	55.32346	123.5083	20.56976
48.9	0	55.82168	124.0668	20.57041
49	0	56.48361	124.6252	20.57156
49.1	0	57.30426	125.1837	20.57212
49.2	0	58.27752	125.7422	20.57322
49.3	0	59.39616	126.3006	20.57402
49.4	0	60.65182	126.8591	20.57478
49.5	0	62.03515	127.4176	20.57569
49.6	0	63.53588	127.976	20.57639
49.7	0	65.14278	128.5345	20.57724
49.8	0	66.84389	129.093	20.57801
49.9	0	68.62654	129.6515	20.57879
50	0	70.47742	130.2099	20.57951
50.1	0	72.38279	130.7684	20.58041
50.2	0	74.32841	131.3269	20.58094
50.3	0	76.29976	131.8853	20.58183
50.4	0	78.28219	132.4438	20.58241
50.5	0	80.26089	133.0023	20.58303
50.6	0	82.22112	133.5607	20.58401
50.7	0	84.14828	134.1192	20.58433
50.8	0	86.02802	134.6777	20.58548
50.9	0	87.84637	135.2361	20.58569
51	0	89.58978	135.7946	20.58639
51.1	0	91.24515	136.3531	20.58729
51.2	0	92.80029	136.9116	20.5875
51.3	0	94.24348	137.47	20.58883
51.4	0	95.56404	138.0285	20.58874
51.5	0	96.75212	138.587	20.58965
51.6	0	97.79882	139.1454	20.59025
51.7	0	98.69656	139.7039	20.5905
51.8	0	99.43832	140.2623	20.59186
51.9	0	100.0189	140.8205	20.59161
52	0	100.4337	141.3786	20.59277
52.1	0	100.6797	141.9369	20.59303
52.2	0	100.7552	142.4946	20.59341
52.3	0	100.6594	143.0529	20.5947
52.4	0	100.3933	143.6106	20.59441
52.5	0	99.95871	144.1683	20.59505
52.6	0	99.35898	144.7259	20.57213
52.7	0	98.59987	145.2825	20.51966
52.8	0	97.6879	145.8373	20.46095
52.9	0	96.63142	146.3898	20.40197
53	0	95.43897	146.9397	20.34638
53.1	0	94.12025	147.4866	20.28251
53.2	0	92.68667	148.03	20.20757
53.3	0	91.14915	148.5699	20.13546
53.4	0	89.52023	149.1059	20.0496
53.5	0	87.81351	149.638	19.95899
53.6	0	86.04232	150.1659	19.86603
53.7	0	84.22169	150.6893	19.75828
53.8	0	82.36626	151.2081	19.65347
53.9	0	80.49057	151.722	19.55057
54	0	78.60916	152.2313	19.45326
54.1	0	76.73642	152.7359	19.3579
54.2	0	74.88706	153.2357	19.26646
54.3	0	73.07555	153.7311	19.17934
54.4	0	71.31609	154.2222	19.09381
54.5	0	69.62278	154.7091	19.01336
54.6	0	68.00919	155.1922	18.93544
54.7	0	66.48829	155.6715	18.85947
54.8	0	65.07265	156.1474	18.7881
54.9	0	63.77387	156.6199	18.71817
55	0	62.60247	157.0891	18.65101
55.1	0	61.56837	157.5554	18.58709
55.2	0	60.67986	158.0186	18.52412
55.3	0	59.94424	158.479	18.46464
55.4	0	59.36769	158.9366	18.40725
55.5	0	58.95456	159.3914	18.35081
55.6	0	58.7082	159.8436	18.29786
55.7	0	58.63052	160.2933	18.24654
55.8	0	58.72155	160.7405	18.19633
55.9	0	58.98034	161.1853	18.14915
56	0	59.40422	161.6279	18.10323
56.1	0	59.98881	162.0684	18.05872
56.2	0	60.72867	162.5069	18.01672
56.3	0	61.61664	162.9434	17.97565
56.4	0	62.64399	163.3781	17.93604
56.5	0	63.80106	163.8111	17.89856
56.6	0	65.07667	164.2424	17.86178
56.7	0	66.45841	164.672	17.82631
56.8	0	67.93309	165.1002	17.79276
56.9	0	69.48641	165.5268	17.75977
57	0	71.10322	165.952	17.72798
57.1	0	72.76792	166.3758	17.69792
57.2	0	74.46438	166.7983	17.66826
57.3	0	76.17597	167.2193	17.63977
57.4	0	77.88602	167.6393	17.61302
57.5	0	79.57787	168.058	17.58625
57.6	0	81.23481	168.4755	17.56073
57.7	0	82.8405	168.892	17.53702
57.8	0	84.37926	169.3074	17.51268
57.9	0	85.83582	169.7217	17.48981
58	0	87.19564	170.1352	17.46875
58.1	0	88.44548	170.5477	17.4465
58.2	0	89.57284	170.9593	17.42593
58.3	0	90.56634	171.3702	17.40717
58.4	0	91.41642	171.7801	17.38674
58.5	0	92.11461	172.1892	17.36822
58.6	0	92.65364	172.5977	17.35146
58.7	0	93.02863	173.0053	17.33272
58.8	0	93.23584	173.4121	17.31615
58.9	0	93.273	173.8184	17.30111
59	0	93.14024	174.2238	17.28389
59.1	0	92.83898	174.6287	17.26915
59.2	0	92.37199	175.033	17.25553
59.3	0	91.74476	175.4366	17.23972
59.4	0	90.96372	175.8395	17.22663
59.5	0	90.03654	176.2422	17.2142
59.6	0	88.97351	176.6441	17.19968
59.7	0	87.78548	177.0454	17.18806
59.8	0	86.48454	177.4467	17.17664
59.9	0	85.08477	177.8472	17.16323
60	0	83.60053	178.2472	17.15289
60.1	0	82.04717	178.6469	17.14239
60.2	0	80.44122	179.0461	17.13001
60.3	0	78.79936	179.4452	17.12078
60.4	0	77.13862	179.8439	17.11111
60.5	0	75.47663	180.2422	17.09973
60.6	0	73.83073	180.6404	17.09144
60.7	0	72.21813	181.038	17.08253
60.8	0	70.6558	181.4354	17.07205
60.9	0	69.16027	181.8322	17.06452
61	0	67.74726	182.2289	17.0563
61.1	0	66.4315	182.6256	17.04667
61.2	0	65.22707	183.0224	17.03969
61.3	0	64.14668	183.4187	17.03211
61.4	0	63.20143	183.8147	17.02324
61.5	0	62.4016	184.2106	17.01672
61.6	0	61.75567	184.6066	17.00969
61.7	0	61.27017	185.0022	17.0015
61.8	0	60.95041	185.3974	16.99531
61.9	0	60.79982	185.7926	16.98878
62	0	60.81962	186.1878	16.98118
62.1	0	61.00975	186.5831	16.9752
62.2	0	61.36826	186.9783	16.96913
62.3	0	61.89093	187.3735	16.96208
62.4	0	62.57222	187.7687	16.95624
62.5	0	63.405	188.1639	16.95057
62.6	0	64.38001	188.5591	16.94401
62.7	0	65.48679	188.9539	16.93831
62.8	0	66.7136	189.3491	16.933
62.9	0	68.04703	189.7439	16.92684
63	0	69.47267	190.1384	16.92122
63.1	0	70.97536	190.5332	16.91626
63.2	0	72.53877	190.9278	16.9104
63.3	0	74.14594	191.3222	16.90484
63.4	0	75.77963	191.7167	16.90021
63.5	0	77.42227	192.1111	16.89459
63.6	0	79.05602	192.5056	16.88909
63.7	0	80.66332	192.9	16.88476
63.8	0	82.22684	193.2944	16.87935
63.9	0	83.72977	193.6889	16.87385
64	0	85.15569	194.0834	16.86987
