Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
74.2	56.73639	1018.838
74.3	56.57706	1020.221
74.4	56.39964	1021.617
74.5	56.20592	1023.027
74.6	55.99781	1024.453
74.7	55.77738	1025.897
74.8	55.54668	1027.359
74.9	55.30785	1028.841
75	55.06302	1030.344
75.1	54.81448	1031.867
75.2	54.56462	1033.413
75.3	54.31583	1034.98
75.4	54.07038	1036.569
75.5	53.83059	1038.178
75.6	53.59886	1039.809
75.7	53.37753	1041.459
75.8	53.16877	1043.129
75.9	52.9746	1044.816
76	52.79703	1046.519
76.1	52.63795	1048.238
76.2	52.49901	1049.969
76.3	52.38156	1051.711
76.4	52.28686	1053.462
76.5	52.216	1055.22
76.6	52.16967	1056.982
76.7	52.14819	1058.744
76.8	52.15173	1060.506
76.9	52.18029	1062.268
77	52.23339	1064.024
77.1	52.31022	1065.772
77.2	52.40979	1067.511
77.3	52.53087	1069.238
77.4	52.67192	1070.951
77.5	52.8311	1072.649
77.6	53.00644	1074.329
77.7	53.19582	1075.991
77.8	53.39695	1077.634
77.9	53.60743	1079.255
78	53.82476	1080.856
78.1	54.0464	1082.434
78.2	54.26978	1083.991
78.3	54.49241	1085.525
78.4	54.71179	1087.038
78.5	54.92542	1088.53
78.6	55.13083	1090.001
78.7	55.32573	1091.453
78.8	55.5079	1092.886
78.9	55.67517	1094.302
79	55.82544	1095.702
79.1	55.95675	1097.088
79.2	56.06721	1098.462
79.3	56.1552	1099.825
79.4	56.21929	1101.179
79.5	56.25827	1102.526
79.6	56.27133	1103.869
79.7	56.25806	1105.209
79.8	56.21846	1106.549
79.9	56.15295	1107.89
80	56.06228	1109.235
80.1	55.94755	1110.587
80.2	55.81011	1111.948
80.3	55.65146	1113.318
80.4	55.47322	1114.701
80.5	55.2771	1116.099
80.6	55.065	1117.513
80.7	54.83897	1118.944
80.8	54.60127	1120.395
80.9	54.35414	1121.866
81	54.09983	1123.358
81.1	53.84062	1124.872
81.2	53.57895	1126.409
81.3	53.31735	1127.968
81.4	53.05831	1129.55
81.5	52.80424	1131.155
81.6	52.55756	1132.781
81.7	52.32073	1134.429
81.8	52.09618	1136.097
81.9	51.88613	1137.785
82	51.69267	1139.49
82.1	51.51784	1141.211
82.2	51.36356	1142.948
82.3	51.23141	1144.696
82.4	51.12271	1146.455
82.5	51.03868	1148.222
